sample.id,sample.date,day,f__Methanobacteriaceae,f__,f__Actinomycetaceae,f__Actinosynnemataceae,f__Corynebacteriaceae,f__Geodermatophilaceae,f__Micrococcaceae,f__Nocardiaceae,f__Propionibacteriaceae,f__Bifidobacteriaceae,f__Coriobacteriaceae,f__,f__Bacteroidaceae,f__Porphyromonadaceae,f__Prevotellaceae,f__Rikenellaceae,f__S24-7,f__[Barnesiellaceae],f__[Odoribacteraceae],f__[Paraprevotellaceae],f__[Weeksellaceae],f__Chitinophagaceae,f__Ignavibacteriaceae,f__,f__,f__,f__Bacillaceae,f__Paenibacillaceae,f__Planococcaceae,f__Staphylococcaceae,f__Gemellaceae,f__Carnobacteriaceae,f__Enterococcaceae,f__Lactobacillaceae,f__Leuconostocaceae,f__Streptococcaceae,f__Turicibacteraceae,f__,f__Christensenellaceae,f__Clostridiaceae,f__Dehalobacteriaceae,f__EtOH8,f__Eubacteriaceae,f__Lachnospiraceae,f__Peptococcaceae,f__Peptostreptococcaceae,f__Ruminococcaceae,f__Veillonellaceae,f__[Mogibacteriaceae],f__[Tissierellaceae],f__,f__Erysipelotrichaceae,f__Fusobacteriaceae,f__Leptotrichiaceae,f__Victivallaceae,f__,f__Bradyrhizobiaceae,f__Phyllobacteriaceae,f__mitochondria,f__Sphingomonadaceae,f__,f__,f__Alcaligenaceae,f__Comamonadaceae,f__Oxalobacteraceae,f__Neisseriaceae,f__Rhodocyclaceae,f__Desulfovibrionaceae,f__,f__Campylobacteraceae,f__Aeromonadaceae,f__Succinivibrionaceae,f__Cardiobacteriaceae,f__Enterobacteriaceae,f__Legionellaceae,f__Pasteurellaceae,f__Moraxellaceae,f__Pseudomonadaceae,f__Xanthomonadaceae,f__Dethiosulfovibrionaceae,f__Synergistaceae,f__,f__,f__,f__Verrucomicrobiaceae
X10283.LS.7.14.2013,2013-07-14,10,0.000466667,0,2e-04,0,0,0,0,0,0,0.001933333,0.0036,0,0.223333333,0.0608,0.0268,0.0496,0,0.002933333,0.004733333,0,0,0,0,6.67e-05,0,0,6.67e-05,0,0,0,0.000266667,0,6.67e-05,0,0,6e-04,0,0.025733333,0.001,0.004866667,0.000133333,0,0,0.2182,2e-04,0.000133333,0.327733333,0.0146,6.67e-05,6.67e-05,0,0.012466667,4e-04,0,6.67e-05,0.003466667,0,0,0,0,0,0,0.004,0,0,0,0,0.006533333,0,0,0,0,0,2e-04,0,0.000133333,0,0,0,0,0,0,0.002,0,0.002533333
X10283.LS.9.3.2013,2013-09-03,11,0.003066667,0,0.000266667,0,0,0,0,0,0,0.0058,0.0028,0,0.120133333,0.032666667,0.047666667,0.024066667,0,0.000933333,0.0036,0,0,0,0,0,0,6.67e-05,0,0,0,0,0.000133333,6.67e-05,0,0,0,0.000266667,6.67e-05,0.0316,0.000733333,0.044,2e-04,0,0,0.199,8e-04,6.67e-05,0.413066667,0.0046,2e-04,0,0,0.014666667,0.000333333,0,0.000133333,0.035733333,0,0,0,0,0.000133333,0,0.004866667,0,0.000133333,0,0,0.006266667,0,0,0,0,0,6e-04,0,0.000266667,0,0,0,0,0,0,2e-04,0,8e-04
X10283.LS.9.24.2013,2013-09-24,12,0.003466667,0,0,0,0,0,0,0,0,0.0092,0.005266667,0,0.074066667,0.041666667,0.046666667,0.047733333,0,0.001733333,0.006066667,0,0,0,0,6.67e-05,0,0,0,0,0,0,0.000133333,6.67e-05,0,6.67e-05,0,0.001466667,0,0.028866667,0.001866667,0.053733333,0,0,6.67e-05,0.233933333,0.000266667,4e-04,0.3838,0.005333333,0,0.000133333,0,0.026466667,0.000266667,0,0.000133333,0.0076,0,0,0,0,0.000133333,0,0.0086,0,2e-04,0,0,0.006933333,0,6.67e-05,0,6.67e-05,0,0.0014,0,0.000333333,6.67e-05,0,0.000133333,0,0,0,0.001266667,0,0.000266667
X10283.LS.11.10.2013,2013-11-10,13,0.001133333,0,0.000133333,0,6.67e-05,0,0,0,0,0.0038,0.0014,0,0.16,0.043933333,0.0976,0.0508,0,0.002066667,0.007466667,0,0,0,0,6.67e-05,0,0.000533333,0,0,0,0,0,0,0,0,0,0.003933333,0,0.047733333,0.001,0.0226,0.000133333,0,0,0.207266667,8e-04,0,0.2898,0.0088,2e-04,0,0,0.011466667,2e-04,0,0.000133333,0.0254,0,0,0,0,6.67e-05,6.67e-05,0.004133333,0,0,0,0,0.0032,0,0,0,0,0,0.001,0,0.000133333,0,0,0,0,0,0,0.002266667,0,0.000666667
X10283.LS.12.14.2013,2013-12-14,14,0.002533333,0,6.67e-05,0,0,0,0,0,0,0.013466667,0.001933333,6.67e-05,0.2094,0.099933333,0.0068,0.073533333,0,0.0036,0.008066667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000133333,0,0.038333333,0.007066667,0.023666667,2e-04,0.000133333,0,0.1482,6.67e-05,0,0.281066667,0.011466667,0.000133333,6.67e-05,0,0.0122,0.000333333,0,0.000333333,0.033133333,0,0,0,0,0,6.67e-05,0.004466667,0,0.000266667,6.67e-05,0,0.010866667,0,0,0,0,0,2e-04,0,0.000333333,0,0,6.67e-05,0,6.67e-05,0,0.000133333,0,0.007533333
X10283.LS.1.19.2014,2014-01-19,15,0.003333333,0,0.000133333,0,6.67e-05,0,0,0,0,0.001866667,0.0042,0,0.179133333,0.123266667,0.005866667,0.091066667,0,0.006333333,0.014066667,0,0,0,0,0,0,0,0,0,0,0,0.000466667,0,0,0,0,0.000666667,0,0.033533333,0.001066667,0.016866667,2e-04,0,6.67e-05,0.148666667,0,6.67e-05,0.164266667,0.001133333,0.000133333,0.000333333,0,0.015933333,0.0038,0,0.000666667,0.028866667,0,0,0,0,0,0,0.010466667,0.000933333,2e-04,2e-04,0,0.011533333,0,6.67e-05,0,0,0,0.000666667,0,8e-04,0,0,6.67e-05,0,0,0,0.000266667,0,0.128733333
X10283.LS.2.17.2014,2014-02-17,16,0.002333333,0,2e-04,0,0,0,0,0,0,0,0.0036,0,0.263266667,0.072866667,0.005,0.088733333,0,0.014133333,0.009266667,0,6.67e-05,0,0,0,0,0,6.67e-05,0,0,0,4e-04,0,0,0,0,0.000133333,0,0.039866667,0.0128,0.006533333,2e-04,0,2e-04,0.1368,0,2e-04,0.2106,0.0134,0.001266667,0.002666667,0.000333333,0.015133333,0.008733333,0,2e-04,0.020533333,0,0.000266667,0,0,0,0,0.004866667,6.67e-05,0.000666667,0.000333333,0,0.0112,0,6.67e-05,0,0,0,0.000533333,0,2e-04,0,0,0.000466667,0,0.000466667,0,6e-04,0,0.050733333
X10283.LS.3.23.2014,2014-03-23,17,0.0014,0,0,0,0,0,6.67e-05,0,0,0.000133333,0.001666667,0,0.212466667,0.080466667,0.016266667,0.0466,6.67e-05,0.005066667,0.0104,0,0,0,0,6.67e-05,0,0,0,0,0,0,0,6.67e-05,0,6.67e-05,0,2e-04,0,0.0582,0.0056,0.008866667,4e-04,0,0,0.153733333,0.000266667,0,0.2732,0.009333333,2e-04,6.67e-05,0,0.019,0.000133333,0,0.000266667,0.0378,0,0,0,0,6.67e-05,6.67e-05,0.006466667,0,0.000333333,0,0,0.0058,0,0,0,0,0,2e-04,0,6.67e-05,0.000133333,0,0,0,0.000266667,0,0.001933333,0,0.0426
X10283.LS.5.4.2014,2014-05-04,18,0.005933333,0,4e-04,0,6.67e-05,0,6.67e-05,0,0,0.000666667,0.003466667,0,0.151533333,0.0786,0.014733333,0.100133333,6.67e-05,0.010266667,0.005533333,0,0,0,0.000333333,0,0,6.67e-05,0,0,0,0,0.000466667,0,0,6.67e-05,0,0.001,0,0.032,0.008533333,0.021066667,0.000466667,6.67e-05,6.67e-05,0.1706,0,0.000133333,0.2776,0.012866667,0.000666667,0.0016,6.67e-05,0.022133333,0.002866667,0,0,0.0036,0,0,0,0,0,0.000133333,0.007266667,0,0.003066667,6.67e-05,0,0.0152,0,0,0,0,0,0.000733333,0,0.000733333,6.67e-05,0,0,0,0.000333333,0,0.001,0,0.043666667
X10283.LS.6.16.2014,2014-06-16,19,0.001266667,0,0,0,0,0,0,0,0,0.000133333,0.001266667,0,0.176466667,0.092266667,0.0608,0.103733333,0,0.0066,0.0116,0.000133333,0,0,0,0.004266667,0,0,0,0,0,0,0,0,2e-04,0,0,0,6.67e-05,0.0336,0.001533333,0.0172,0.000133333,0,0,0.203333333,6e-04,2e-04,0.1858,0.0056,2e-04,6.67e-05,6.67e-05,0.007,2e-04,0,6.67e-05,0.011866667,0,0,0,0,6.67e-05,0.000133333,0.012,0,0.000666667,0,0,0.004866667,0,0,0,6.67e-05,0,0.000666667,0,0,0,0,6.67e-05,0,6.67e-05,0,0.001133333,0,0.054
X10283.LS.7.27.2014,2014-07-27,20,0.002333333,0,0.000333333,0,0,0,0,0,0,0,0.002066667,0,0.1832,0.047333333,0.041,0.08,0,0.012733333,0.006266667,0,0,0,0,0.008533333,0,0,0,0,6.67e-05,0,4e-04,6.67e-05,0,0,0,6e-04,0,0.0396,0.0046,0.008933333,0.000133333,0,6.67e-05,0.186,0,6.67e-05,0.236,0.009333333,0.000533333,0.000666667,0,0.009333333,0.001466667,0,0,0.008933333,0,0,0,0,0,0,0.005266667,0,0.000133333,0,0,0.0116,0,0,0,0,0,0.006,0,0.001533333,0,0,0,0,0.000266667,0,0.001133333,0,0.083466667
X10283.LS.8.22.2014,2014-08-22,21,0.002866667,0,0.000133333,0,6.67e-05,0,6.67e-05,0,0,0.000666667,0.008333333,0,0.096466667,0.030333333,0.0196,0.033066667,0,0.003733333,0.006933333,0,0,0,0,0.002866667,0,0,0,0,0,0,0.000133333,0,0,6.67e-05,0,0.001,0,0.078466667,0.0012,0.011866667,0.000333333,0,0,0.315866667,0.000133333,4e-04,0.319866667,0.006466667,0.000466667,0.000133333,6.67e-05,0.014133333,6.67e-05,0,0.000133333,0.017066667,0,0,0,0,0,6.67e-05,0.0066,0,0.000266667,0,0,0.008733333,6.67e-05,0,0,0,0,0.000266667,0,0.000133333,0,0,6.67e-05,0,0,0,0.000133333,0,0.010666667
X10283.LS.8.25.2014,2014-08-25,22,0.005666667,0,0.000266667,0,0.000466667,0,0,0,6.67e-05,0.000533333,0.0146,0,0.2104,0.0368,0.011733333,0.078066667,0,0.009266667,0.0058,6.67e-05,4e-04,0,0,0.000266667,0,0,0,0,0,0,0.000133333,0,6.67e-05,0,0,0.000666667,0,0.053666667,0.0048,0.006466667,0,0,6.67e-05,0.1598,0,0.000266667,0.2686,0.014466667,0.001066667,0.001533333,0.000133333,0.011266667,0.000533333,0,6.67e-05,0.0028,0,0,0,0,0,0,0.004533333,0.000133333,0.001,0.000266667,0,0.002733333,0,0,0,0,0,0.000133333,0,6.67e-05,6.67e-05,0,0,0,2e-04,0,6.67e-05,0,0.09
X10283.LS.9.28.2014,2014-09-28,23,0.001266667,0,0.000133333,0,0,0,6.67e-05,0,0,6.67e-05,0.002266667,0,0.189133333,0.0208,0.073933333,0.032266667,0,0.0034,0.006866667,0,0,0,0,0.0072,0,0,6.67e-05,0,0,0,0,0,0,0,0,0.001066667,0,0.060333333,0.000933333,0.014533333,0,0,0,0.2488,0.000266667,0,0.273066667,0.008066667,2e-04,0.000133333,6.67e-05,0.008933333,0.000133333,0,6.67e-05,0.011533333,0,0,0,0,0,0.000133333,0.005466667,6.67e-05,0.000333333,0,0,0.004933333,0,0,0,0,0,0.0192,0,2e-04,0,0,0,0,0,0,2e-04,0,0.003866667
X10283.LS.11.16.2014,2014-11-16,24,0.0016,0,0.000133333,0,6.67e-05,0,0,0,0,4e-04,0.0026,0.000133333,0.138866667,0.022866667,0.136866667,0.0212,0,0.001133333,0.001266667,6.67e-05,0,0,0,0.001933333,0,0,0,0,6.67e-05,0,2e-04,0,0,0,0,0.001,0,0.042266667,0.000866667,0.022066667,0,0,0,0.2946,0.000266667,0,0.2604,0.006933333,4e-04,0.001266667,0,0.0094,0.0026,0,0,0.000866667,0,0,0,0,0,6.67e-05,0.005466667,0.000666667,0,6.67e-05,0,0.0068,0,0,0,0,0,0.010666667,0,0.000733333,0,0,0,0,0,0,4e-04,0,0.0028
X10283.LS.12.7.2014,2014-12-07,25,0.002533333,0,0,0,0,0,6.67e-05,0,0,0.000133333,0.006066667,0.0022,0.1566,0.036,0.0174,0.031933333,0,0.006533333,0.008066667,0,0,0,0,0.006733333,0,6.67e-05,0,0,0,0,6.67e-05,0,0,0,0,2e-04,0,0.075733333,0.0024,0.010266667,6.67e-05,0,6.67e-05,0.184466667,6.67e-05,0,0.334733333,0.009,0.000866667,2e-04,0.000133333,0.0262,2e-04,0,6.67e-05,0.015333333,0,0,0,0,0,0,0.0088,0.000466667,0.000733333,0,6.67e-05,0.010733333,0,0,0,0,0,0.030666667,0,0,0,0,0,0,2e-04,0,0.000133333,0,0.0138
X10283.LS.12.17.2014,2014-12-17,26,0.000933333,0,0.000133333,0,0,0,0,0,0,4e-04,0.001266667,0,0.246866667,0.0374,0.090733333,0.027666667,0,0.003,0.0046,6.67e-05,0,0,0,0.0038,0,4e-04,0,0,0,0,0.000133333,6.67e-05,0,0,6.67e-05,0.0054,0,0.0588,0.002533333,0.015933333,0,6.67e-05,0,0.185933333,0.000133333,0,0.163066667,0.003866667,0.000133333,2e-04,0,0.002866667,0.000933333,0,6.67e-05,0.0112,0,0,0,0,0,0,0.018666667,0,0.000333333,0,0,0.008666667,0,0,0,0,0,0.094333333,0,8e-04,0,6.67e-05,0,0,0,0,0.0018,0,0.006666667
X10283.LS.1.6.2015,2015-01-06,27,0.002266667,0,2e-04,0,0,0,0,0,0,6e-04,0.001866667,0,0.2716,0.044733333,0.036133333,0.072866667,6.67e-05,0.015933333,0.006533333,0,0,0,0,4e-04,0,6.67e-05,0,0,0,0,6.67e-05,0,0,2e-04,0,0.0016,0,0.03,0.0042,0.015066667,0.000133333,0,0,0.135,0,0.000466667,0.185933333,0.009,0.000533333,8e-04,0,0.007,0.003133333,0,0,0.0054,0,0,0,0,0,0,0.003533333,0,0.000466667,6.67e-05,0,0.008333333,0,0,4e-04,0,0,0.037266667,0,0.000666667,0,0,0,0,0,0,0,0,0.097466667
X10283.LS.1.14.2015,2015-01-14,28,0.0032,0,0,0,0,0,0,0,0,0.001466667,0.002333333,6.67e-05,0.154333333,0.037333333,0.020133333,0.082133333,6.67e-05,0.0144,0.005866667,0,0,0,0,0.0026,0,0,0,0,0,0,6.67e-05,0,0,0.000266667,0,0.000533333,0,0.043133333,0.019866667,0.034666667,0,0.000266667,0,0.155,0.000133333,0.000266667,0.253533333,0.0024,6e-04,0.000133333,0,0.0082,0.000333333,0,0,0.002533333,0,0,0,2e-04,0,0,0.009,8e-04,0.000533333,6.67e-05,0,0.011333333,0,0,0,0,0,0.022466667,0,0,6.67e-05,0,6.67e-05,0,0.000266667,0,0.001466667,0,0.107866667
X10283.LS.1.25.2015,2015-01-25,29,0.0034,0,0,0,0,0,0,0,0,4e-04,0.003066667,4e-04,0.1236,0.025133333,0.011,0.0664,0,0.0154,0.003266667,0,0,0,0,0.002466667,0,6.67e-05,0,0,0,0,0,6.67e-05,0,0,0,2e-04,0,0.044933333,0.0082,0.022,0.000333333,6.67e-05,0,0.148333333,0,6.67e-05,0.262933333,0.003933333,2e-04,6.67e-05,6.67e-05,0.0074,0.000866667,0,6.67e-05,0.003133333,0,0,0,0,0,0,0.0036,0,0.000266667,0,0,0.0086,0,0,0,0,0,0.0128,0,6.67e-05,0,0,0,0,0.000133333,0,8e-04,0,0.216266667
X10283.LS.2.8.2015,2015-02-08,30,0.002,6.67e-05,0.000133333,0,0,0,0,0,0,4e-04,0.002733333,6.67e-05,0.139666667,0.0292,0.019933333,0.0566,0,0.009733333,0.006066667,0,0,0,0,0.000866667,0,0,0,0,0,0,0,0,0,6.67e-05,0,0.002133333,0.000133333,0.067266667,0.010066667,0.0238,2e-04,0.000333333,0,0.2024,0.000133333,0,0.3114,0.004333333,0.000133333,0,0,0.004266667,0.000266667,0,0,0.0034,0,0,0,0,0,0,0.0054,6.67e-05,2e-04,0.000133333,0,0.012333333,0,0,0,0,6.67e-05,0.036733333,6.67e-05,0,0,0,0,0,6.67e-05,0,2e-04,0,0.046933333
X10283.LS.2.23.2015,2015-02-23,31,0.002666667,0,0,0,0,0,0,0,0,0.000133333,0.0044,0.000133333,0.103533333,0.0278,0.027933333,0.0266,0,0.0054,0.0048,0,0,0,0,0.001533333,0,0,0,6.67e-05,0,0,0,0,0.000133333,0,0,0.000266667,0,0.0812,0.006266667,0.007666667,0.000266667,0,6.67e-05,0.284333333,6.67e-05,6.67e-05,0.2902,0.006733333,2e-04,0,6.67e-05,0.014666667,0,0,0,0.0048,0,0,0,0,0,0,0.009,0,0.000333333,0,0,0.007666667,0,0,0,0,0,0.074933333,0,6.67e-05,6.67e-05,0,0,0,6.67e-05,0,6e-04,0,0.005266667
X10283.LS.3.8.2015,2015-03-08,32,0.005933333,0,0.000333333,0,0,0,0.000133333,0,0,0.0022,0.006266667,0,0.194533333,0.019866667,0.014066667,0.0444,0,0.0104,0.005933333,0,0,0,0,0.000133333,0,0.000133333,0,0,0,0,6.67e-05,0,0,0,6.67e-05,0.001,0,0.0732,0.005733333,0.011933333,0,0,0,0.095,0,0.000466667,0.333666667,0.006066667,2e-04,0.000266667,6.67e-05,0.024666667,0,0,0,0.001133333,0,0,0,0,0,6.67e-05,0.009733333,0,0.001,0,0,0.01,0,0,0,0,0,0.086666667,0,6.67e-05,0,0,0,0,2e-04,0,6.67e-05,0,0.034333333
X10283.LS.3.24.2015,2015-03-24,33,0.0064,0,0.000333333,0,0,0,6.67e-05,0,0,2e-04,0.004,0,0.1252,0.027466667,0.0402,0.051,0,0.009733333,0.005,0,6.67e-05,0,0,8e-04,0,6.67e-05,6.67e-05,0,0,0,2e-04,0.000333333,6.67e-05,0,0,0.000133333,0,0.0648,0.013466667,0.011,6.67e-05,0.000133333,6.67e-05,0.191466667,0,2e-04,0.2684,0.009666667,8e-04,0.004666667,6.67e-05,0.012733333,0.003,0,6.67e-05,0.002266667,0,0,0,0,0,0,0.003933333,0.000133333,0.000533333,0.000133333,0,0.0116,0,6.67e-05,0,0,0,0.008133333,0,0.000533333,0,0,6.67e-05,0,0.000466667,0,6.67e-05,0,0.120133333
